#Flux file (2D) for RDK2
# measurments by Jeff Nico
# extracted and reformatted by Matthew Bales
#Transposed Field (1=true,0=false)
0
# [Start(cm)] [Spacing (cm)] [# of Entries]
-1.49 0.06 150
-1.49 0.06 150
# [x(cm)][y(cm)][Potential (V)]
-1.470000e+00 -5.000000e-02 0.000000e+00
-1.470000e+00 -3.000000e-02 0.000000e+00
-1.470000e+00 -1.000000e-02 1.506729e-03
-1.470000e+00 1.000000e-02 7.747042e-04
-1.470000e+00 3.000000e-02 2.757165e-06
-1.470000e+00 5.000000e-02 2.423165e-03
-1.470000e+00 7.000000e-02 4.200882e-05
-1.470000e+00 9.000000e-02 0.000000e+00
-1.470000e+00 1.100000e-01 1.813296e-04
-1.470000e+00 1.300000e-01 7.272656e-05
-1.470000e+00 1.500000e-01 2.064224e-04
-1.470000e+00 1.700000e-01 5.029687e-05
-1.470000e+00 1.900000e-01 0.000000e+00
-1.470000e+00 2.100000e-01 0.000000e+00
-1.470000e+00 2.300000e-01 8.837147e-04
-1.470000e+00 2.500000e-01 6.889797e-04
-1.470000e+00 2.700000e-01 0.000000e+00
-1.470000e+00 2.900000e-01 1.788954e-03
-1.470000e+00 3.100000e-01 2.923697e-03
-1.470000e+00 3.300000e-01 0.000000e+00
-1.470000e+00 3.500000e-01 0.000000e+00
-1.470000e+00 3.700000e-01 1.677696e-03
-1.470000e+00 3.900000e-01 1.153351e-03
-1.470000e+00 4.100000e-01 2.248738e-03
-1.470000e+00 4.300000e-01 1.374035e-03
-1.470000e+00 4.500000e-01 1.156429e-03
-1.470000e+00 4.700000e-01 0.000000e+00
-1.470000e+00 4.900000e-01 2.685093e-03
-1.470000e+00 5.100000e-01 4.267766e-04
-1.470000e+00 5.300000e-01 0.000000e+00
-1.470000e+00 5.500000e-01 1.316726e-03
-1.470000e+00 5.700000e-01 2.102311e-03
-1.470000e+00 5.900000e-01 0.000000e+00
-1.470000e+00 6.100000e-01 0.000000e+00
-1.470000e+00 6.300000e-01 9.627867e-04
-1.470000e+00 6.500000e-01 1.200404e-03
-1.470000e+00 6.700000e-01 3.306927e-03
-1.470000e+00 6.900000e-01 6.548379e-04
-1.470000e+00 7.100000e-01 9.222041e-04
-1.470000e+00 7.300000e-01 0.000000e+00
-1.470000e+00 7.500000e-01 0.000000e+00
-1.470000e+00 7.700000e-01 9.837593e-04
-1.470000e+00 7.900000e-01 0.000000e+00
-1.470000e+00 8.100000e-01 1.688103e-03
-1.470000e+00 8.300000e-01 2.825044e-03
-1.470000e+00 8.500000e-01 0.000000e+00
-1.470000e+00 8.700000e-01 0.000000e+00
-1.470000e+00 8.900000e-01 0.000000e+00
-1.470000e+00 9.100000e-01 0.000000e+00
-1.470000e+00 9.300000e-01 0.000000e+00
-1.470000e+00 9.500000e-01 0.000000e+00
-1.470000e+00 9.700000e-01 1.879438e-04
-1.470000e+00 9.900000e-01 0.000000e+00
-1.470000e+00 1.010000e+00 0.000000e+00
-1.470000e+00 1.030000e+00 0.000000e+00
-1.470000e+00 1.050000e+00 0.000000e+00
-1.470000e+00 1.070000e+00 7.343608e-05
-1.470000e+00 1.090000e+00 0.000000e+00
-1.470000e+00 1.110000e+00 5.084304e-04
-1.470000e+00 1.130000e+00 0.000000e+00
-1.470000e+00 1.150000e+00 0.000000e+00
-1.470000e+00 1.170000e+00 8.548487e-04
-1.470000e+00 1.190000e+00 0.000000e+00
-1.470000e+00 1.210000e+00 0.000000e+00
-1.470000e+00 1.230000e+00 0.000000e+00
-1.470000e+00 1.250000e+00 0.000000e+00
-1.470000e+00 1.270000e+00 0.000000e+00
-1.470000e+00 1.290000e+00 0.000000e+00
-1.470000e+00 1.310000e+00 0.000000e+00
-1.470000e+00 1.330000e+00 0.000000e+00
-1.470000e+00 1.350000e+00 5.350040e-04
-1.470000e+00 1.370000e+00 3.005054e-05
-1.470000e+00 1.390000e+00 0.000000e+00
-1.470000e+00 1.410000e+00 0.000000e+00
-1.470000e+00 1.430000e+00 3.119160e-03
-1.470000e+00 1.450000e+00 0.000000e+00
-1.470000e+00 1.470000e+00 0.000000e+00
-1.470000e+00 1.490000e+00 5.020297e-04
-1.450000e+00 -1.490000e+00 0.000000e+00
-1.450000e+00 -1.470000e+00 6.031383e-05
-1.450000e+00 -1.450000e+00 0.000000e+00
-1.450000e+00 -1.430000e+00 0.000000e+00
-1.450000e+00 -1.410000e+00 0.000000e+00
-1.450000e+00 -1.390000e+00 0.000000e+00
-1.450000e+00 -1.370000e+00 0.000000e+00
-1.450000e+00 -1.350000e+00 0.000000e+00
-1.450000e+00 -1.330000e+00 0.000000e+00
-1.450000e+00 -1.310000e+00 0.000000e+00
-1.450000e+00 -1.290000e+00 8.986243e-04
-1.450000e+00 -1.270000e+00 0.000000e+00
-1.450000e+00 -1.250000e+00 0.000000e+00
-1.450000e+00 -1.230000e+00 0.000000e+00
-1.450000e+00 -1.210000e+00 0.000000e+00
-1.450000e+00 -1.190000e+00 7.800202e-04
-1.450000e+00 -1.170000e+00 0.000000e+00
-1.450000e+00 -1.150000e+00 0.000000e+00
-1.450000e+00 -1.130000e+00 0.000000e+00
-1.450000e+00 -1.110000e+00 0.000000e+00
-1.450000e+00 -1.090000e+00 0.000000e+00
-1.450000e+00 -1.070000e+00 0.000000e+00
-1.450000e+00 -1.050000e+00 0.000000e+00
-1.450000e+00 -1.030000e+00 5.819578e-04
-1.450000e+00 -1.010000e+00 1.170238e-04
-1.450000e+00 -9.900000e-01 0.000000e+00
-1.450000e+00 -9.700000e-01 0.000000e+00
-1.450000e+00 -9.500000e-01 0.000000e+00
-1.450000e+00 -9.300000e-01 0.000000e+00
-1.450000e+00 -9.100000e-01 0.000000e+00
-1.450000e+00 -8.900000e-01 0.000000e+00
-1.450000e+00 -8.700000e-01 0.000000e+00
-1.450000e+00 -8.500000e-01 0.000000e+00
-1.450000e+00 -8.300000e-01 6.813279e-05
-1.450000e+00 -8.100000e-01 0.000000e+00
-1.450000e+00 -7.900000e-01 1.910038e-03
-1.450000e+00 -7.700000e-01 1.607706e-03
-1.450000e+00 -7.500000e-01 0.000000e+00
-1.450000e+00 -7.300000e-01 0.000000e+00
-1.450000e+00 -7.100000e-01 0.000000e+00
-1.450000e+00 -6.900000e-01 4.267766e-04
-1.450000e+00 -6.700000e-01 0.000000e+00
-1.450000e+00 -6.500000e-01 4.110391e-04
-1.450000e+00 -6.300000e-01 9.421811e-05
-1.450000e+00 -6.100000e-01 0.000000e+00
-1.450000e+00 -5.900000e-01 0.000000e+00
-1.450000e+00 -5.700000e-01 8.441691e-04
-1.450000e+00 -5.500000e-01 1.196619e-03
-1.450000e+00 -5.300000e-01 1.583070e-03
-1.450000e+00 -5.100000e-01 0.000000e+00
-1.450000e+00 -4.900000e-01 9.638836e-04
-1.450000e+00 -4.700000e-01 2.000068e-03
-1.450000e+00 -4.500000e-01 1.083735e-03
-1.450000e+00 -4.300000e-01 6.056280e-04
-1.450000e+00 -4.100000e-01 0.000000e+00
-1.450000e+00 -3.900000e-01 3.002746e-04
-1.450000e+00 -3.700000e-01 1.558708e-03
-1.450000e+00 -3.500000e-01 0.000000e+00
-1.450000e+00 -3.300000e-01 1.809566e-03
-1.450000e+00 -3.100000e-01 0.000000e+00
-1.450000e+00 -2.900000e-01 1.286050e-03
-1.450000e+00 -2.700000e-01 0.000000e+00
-1.450000e+00 -2.500000e-01 2.872335e-05
-1.450000e+00 -2.300000e-01 2.563741e-05
-1.450000e+00 -2.100000e-01 1.242892e-03
